state,total_transactions,total_amount,query,year,yearly_transactions,yearly_amount,recent_amount
punjab,,,Query 2,2022,306044202.0,573162274659.4835,
punjab,,,Query 2,2023,488591286.0,806055297216.0,
punjab,,,Query 2,2024,701547256.0,1012980265867.0,
rajasthan,,,Query 2,2018,52782208.0,86435235061.03601,
rajasthan,,,Query 2,2019,246343185.0,422169171829.82007,
rajasthan,,,Query 2,2020,543585579.0,1063784597563.2357,
rajasthan,,,Query 2,2021,1428114308.0,2667641093913.691,
rajasthan,,,Query 2,2022,2859248578.0,4870329655297.455,
rajasthan,,,Query 2,2023,4581260345.0,7119974013567.0,
rajasthan,,,Query 2,2024,7397203695.0,10112901799027.0,
sikkim,,,Query 2,2018,381689.0,826565609.5017357,
sikkim,,,Query 2,2019,1948037.0,3258113927.9166813,
sikkim,,,Query 2,2020,2377319.0,5428297593.98899,
sikkim,,,Query 2,2021,4521842.0,11828687431.960226,
sikkim,,,Query 2,2022,9521480.0,21599802879.48183,
sikkim,,,Query 2,2023,17471356.0,32040764350.0,
sikkim,,,Query 2,2024,29639119.0,43963170148.0,
tamil-nadu,,,Query 2,2018,54950272.0,104019568190.86142,
tamil-nadu,,,Query 2,2019,162453376.0,302562182998.0694,
tamil-nadu,,,Query 2,2020,300281109.0,562710808075.9279,
tamil-nadu,,,Query 2,2021,746228496.0,1321086760548.9382,
tamil-nadu,,,Query 2,2022,1478892898.0,2410492817243.736,
tamil-nadu,,,Query 2,2023,2109208414.0,3197922154236.0,
tamil-nadu,,,Query 2,2024,2944371472.0,4037424731355.0,
telangana,,,Query 2,2018,67541293.0,117864587293.96674,
telangana,,,Query 2,2019,439968715.0,733876491896.2697,
telangana,,,Query 2,2020,931480581.0,1895187203703.4739,
telangana,,,Query 2,2021,2307316195.0,4469364912637.337,
telangana,,,Query 2,2022,5397508175.0,9306631143014.271,
telangana,,,Query 2,2023,7001630531.0,11057352045130.0,
telangana,,,Query 2,2024,10029239102.0,14075679246401.0,
tripura,,,Query 2,2018,1188478.0,1453619620.7517977,
tripura,,,Query 2,2019,2627025.0,3831494007.538612,
tripura,,,Query 2,2020,4946797.0,8881905202.411655,
tripura,,,Query 2,2021,7857745.0,16664559163.310616,
tripura,,,Query 2,2022,15744623.0,32226925429.450386,
tripura,,,Query 2,2023,34297902.0,59276533097.0,
tripura,,,Query 2,2024,54175926.0,78248371899.0,
uttar-pradesh,,,Query 2,2018,92864871.0,131769030564.08102,
uttar-pradesh,,,Query 2,2019,271736968.0,432248763487.0311,
uttar-pradesh,,,Query 2,2020,503663873.0,957279233292.3175,
uttar-pradesh,,,Query 2,2021,1159149994.0,2209431888096.1104,
uttar-pradesh,,,Query 2,2022,2609210165.0,4448387209505.323,
uttar-pradesh,,,Query 2,2023,5135296152.0,7592747865556.0,
uttar-pradesh,,,Query 2,2024,8751681704.0,11113348194399.0,
uttarakhand,,,Query 2,2018,8358700.0,13569145914.897322,
uttarakhand,,,Query 2,2019,23431868.0,38074800401.36055,
uttarakhand,,,Query 2,2020,47611760.0,86148518258.2055,
uttarakhand,,,Query 2,2021,116012398.0,193954612217.72217,
uttarakhand,,,Query 2,2022,244708049.0,367429460295.13135,
uttarakhand,,,Query 2,2023,406500016.0,518098625366.0,
uttarakhand,,,Query 2,2024,612214506.0,699213409561.0,
west-bengal,,,Query 2,2018,120011635.0,111588715417.22694,
west-bengal,,,Query 2,2019,257900590.0,266014506614.4757,
west-bengal,,,Query 2,2020,304222327.0,552731584289.0828,
west-bengal,,,Query 2,2021,666894037.0,1347047122052.695,
west-bengal,,,Query 2,2022,1338887218.0,2692527375013.2017,
west-bengal,,,Query 2,2023,2374642459.0,4227141871987.0,
west-bengal,,,Query 2,2024,4128941421.0,6387113134040.0,
karnataka,,,Query 3,,,,15329305728250.0
maharashtra,,,Query 3,,,,14784385341469.0
telangana,,,Query 3,,,,14075679246401.0
andhra-pradesh,,,Query 3,,,,12873309266292.0
uttar-pradesh,,,Query 3,,,,11113348194399.0
