state,year,quater,total_amount,query,transacion_type,yearly_amount
dadra-&-nagar-haveli-&-daman-&-diu,2019,2.0,824441276.565071,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2019,3.0,961471473.848372,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2019,4.0,1226641262.0110404,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2020,1.0,1342763369.2925177,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2020,2.0,1302376453.888058,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2020,3.0,1749789114.9993622,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2020,4.0,2700511100.8285055,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2021,1.0,2965632911.1935053,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2021,2.0,3157668461.4189043,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2021,3.0,4305939102.791508,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2021,4.0,5565839386.33066,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2022,1.0,6237048367.26239,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2022,2.0,6995159780.810839,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2022,3.0,7520647359.499436,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2022,4.0,8059640746.081129,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2023,1.0,12614091200.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2023,2.0,13750538188.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2023,3.0,15096066463.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2023,4.0,17558059967.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2024,1.0,19519196325.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2024,2.0,20328992711.0,Query 1,,
