device_brand,total_registered,total_opens,query,year,quarter,registered,opens,engagement_rate,state
Vivo,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Oppo,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Apple,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Realme,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
OnePlus,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Motorola,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Others,,,Query 3,,,14122428.0,245605386.0,,jammu-&-kashmir
Huawei,,,Query 3,,,12905302.0,245605386.0,,jammu-&-kashmir
Lenovo,,,Query 3,,,11116298.0,147477381.0,,jammu-&-kashmir
Tecno,,,Query 3,,,3006130.0,98128005.0,,jammu-&-kashmir
Micromax,,,Query 3,,,1217126.0,0.0,,jammu-&-kashmir
Xiaomi,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Samsung,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Vivo,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Oppo,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Realme,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Motorola,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Apple,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Others,,,Query 3,,,64541996.0,1689356349.0,,jharkhand
Lenovo,,,Query 3,,,50920525.0,1073040359.0,,jharkhand
Huawei,,,Query 3,,,47271802.0,1073040359.0,,jharkhand
Tecno,,,Query 3,,,25474817.0,1031026095.0,,jharkhand
Gionee,,,Query 3,,,22475971.0,402351073.0,,jharkhand
Micromax,,,Query 3,,,14926882.0,114247850.0,,jharkhand
Infinix,,,Query 3,,,13621471.0,616315990.0,,jharkhand
OnePlus,,,Query 3,,,13621471.0,616315990.0,,jharkhand
Asus,,,Query 3,,,5313049.0,141731331.0,,jharkhand
Xiaomi,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Samsung,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Vivo,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Oppo,,,Query 3,,,291372780.0,11045976098.0,,karnataka
OnePlus,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Apple,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Motorola,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Realme,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Lenovo,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Huawei,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Others,,,Query 3,,,291372780.0,11045976098.0,,karnataka
Xiaomi,,,Query 3,,,76662576.0,948751208.0,,kerala
Samsung,,,Query 3,,,76662576.0,948751208.0,,kerala
Apple,,,Query 3,,,76662576.0,948751208.0,,kerala
Oppo,,,Query 3,,,76662576.0,948751208.0,,kerala
Vivo,,,Query 3,,,76662576.0,948751208.0,,kerala
Realme,,,Query 3,,,76662576.0,948751208.0,,kerala
Huawei,,,Query 3,,,76662576.0,948751208.0,,kerala
OnePlus,,,Query 3,,,76662576.0,948751208.0,,kerala
Lenovo,,,Query 3,,,76662576.0,948751208.0,,kerala
Motorola,,,Query 3,,,76662576.0,948751208.0,,kerala
Others,,,Query 3,,,76662576.0,948751208.0,,kerala
Xiaomi,,,Query 3,,,840584.0,28908146.0,,ladakh
Samsung,,,Query 3,,,840584.0,28908146.0,,ladakh
Vivo,,,Query 3,,,840584.0,28908146.0,,ladakh
Oppo,,,Query 3,,,840584.0,28908146.0,,ladakh
Realme,,,Query 3,,,840584.0,28908146.0,,ladakh
