state,total_transactions,total_amount,query,year,quarter,yearly_transactions,yearly_amount,total_insurance_value
nagaland,,,Query 3,2022.0,,1005.0,2050634.0,
mizoram,,,Query 3,2022.0,,821.0,1388375.0,
ladakh,,,Query 3,2022.0,,487.0,1243214.0,
lakshadweep,,,Query 3,2022.0,,98.0,130766.0,
,,,Query 3,2023.0,,3986297.0,6056735543.0,
karnataka,,,Query 3,2023.0,,540383.0,809752288.0,
maharashtra,,,Query 3,2023.0,,456768.0,692728643.0,
uttar-pradesh,,,Query 3,2023.0,,318339.0,536625998.0,
tamil-nadu,,,Query 3,2023.0,,366328.0,476097802.0,
kerala,,,Query 3,2023.0,,263011.0,434334060.0,
telangana,,,Query 3,2023.0,,235142.0,351920162.0,
west-bengal,,,Query 3,2023.0,,237468.0,319390886.0,
rajasthan,,,Query 3,2023.0,,161286.0,281772935.0,
haryana,,,Query 3,2023.0,,168318.0,265842730.0,
delhi,,,Query 3,2023.0,,190628.0,252202047.0,
gujarat,,,Query 3,2023.0,,157261.0,225695320.0,
andhra-pradesh,,,Query 3,2023.0,,156244.0,224175652.0,
madhya-pradesh,,,Query 3,2023.0,,123504.0,210771861.0,
bihar,,,Query 3,2023.0,,134138.0,182558274.0,
assam,,,Query 3,2023.0,,84336.0,139681919.0,
odisha,,,Query 3,2023.0,,86390.0,129429407.0,
jharkhand,,,Query 3,2023.0,,74646.0,105689967.0,
punjab,,,Query 3,2023.0,,51828.0,101506457.0,
chhattisgarh,,,Query 3,2023.0,,50201.0,80509856.0,
uttarakhand,,,Query 3,2023.0,,33499.0,59315842.0,
jammu-&-kashmir,,,Query 3,2023.0,,21534.0,46158899.0,
himachal-pradesh,,,Query 3,2023.0,,17252.0,36094149.0,
goa,,,Query 3,2023.0,,17073.0,24847405.0,
puducherry,,,Query 3,2023.0,,8443.0,11518139.0,
tripura,,,Query 3,2023.0,,7513.0,10637905.0,
chandigarh,,,Query 3,2023.0,,6874.0,10631245.0,
arunachal-pradesh,,,Query 3,2023.0,,2829.0,7853657.0,
meghalaya,,,Query 3,2023.0,,2907.0,6310540.0,
andaman-&-nicobar-islands,,,Query 3,2023.0,,3712.0,5681559.0,
dadra-&-nagar-haveli-&-daman-&-diu,,,Query 3,2023.0,,3669.0,5580891.0,
sikkim,,,Query 3,2023.0,,1105.0,2808792.0,
nagaland,,,Query 3,2023.0,,1188.0,2789107.0,
ladakh,,,Query 3,2023.0,,850.0,2499561.0,
manipur,,,Query 3,2023.0,,646.0,1643402.0,
mizoram,,,Query 3,2023.0,,768.0,1389365.0,
lakshadweep,,,Query 3,2023.0,,106.0,159336.0,
,,,Query 3,2024.0,,5067888.0,7926805475.0,
karnataka,,,Query 3,2024.0,,670478.0,1097268779.0,
maharashtra,,,Query 3,2024.0,,555803.0,891933098.0,
uttar-pradesh,,,Query 3,2024.0,,405678.0,692820385.0,
tamil-nadu,,,Query 3,2024.0,,452738.0,620861075.0,
kerala,,,Query 3,2024.0,,307033.0,499048972.0,
telangana,,,Query 3,2024.0,,267700.0,437115726.0,
rajasthan,,,Query 3,2024.0,,252431.0,435189853.0,
west-bengal,,,Query 3,2024.0,,315501.0,422519085.0,
madhya-pradesh,,,Query 3,2024.0,,195588.0,338145086.0,
haryana,,,Query 3,2024.0,,205019.0,330111542.0,
delhi,,,Query 3,2024.0,,216351.0,309808635.0,
gujarat,,,Query 3,2024.0,,197961.0,289308805.0,
andhra-pradesh,,,Query 3,2024.0,,198568.0,280456196.0,
bihar,,,Query 3,2024.0,,208100.0,275646593.0,
odisha,,,Query 3,2024.0,,112245.0,164454844.0,
assam,,,Query 3,2024.0,,94903.0,149629051.0,
jharkhand,,,Query 3,2024.0,,99756.0,143184879.0,
chhattisgarh,,,Query 3,2024.0,,74576.0,121164227.0,
punjab,,,Query 3,2024.0,,60646.0,117368358.0,
uttarakhand,,,Query 3,2024.0,,45421.0,78513623.0,
jammu-&-kashmir,,,Query 3,2024.0,,31200.0,62739634.0,
himachal-pradesh,,,Query 3,2024.0,,22593.0,45071481.0,
goa,,,Query 3,2024.0,,22262.0,32661715.0,
puducherry,,,Query 3,2024.0,,10444.0,14981107.0,
chandigarh,,,Query 3,2024.0,,7614.0,13496969.0,
tripura,,,Query 3,2024.0,,10135.0,13376132.0,
meghalaya,,,Query 3,2024.0,,4718.0,9242648.0,
arunachal-pradesh,,,Query 3,2024.0,,4088.0,9083572.0,
andaman-&-nicobar-islands,,,Query 3,2024.0,,4952.0,7488430.0,
dadra-&-nagar-haveli-&-daman-&-diu,,,Query 3,2024.0,,4858.0,7171166.0,
sikkim,,,Query 3,2024.0,,2145.0,4881814.0,
nagaland,,,Query 3,2024.0,,1922.0,3599932.0,
ladakh,,,Query 3,2024.0,,1581.0,3527755.0,
manipur,,,Query 3,2024.0,,1421.0,2746515.0,
mizoram,,,Query 3,2024.0,,1166.0,1846581.0,
lakshadweep,,,Query 3,2024.0,,249.0,287419.0,
,,,Query 4,,,,,20015919819.0
karnataka,,,Query 4,,,,,2743154847.0
maharashtra,,,Query 4,,,,,2363128536.0
uttar-pradesh,,,Query 4,,,,,1740346495.0
tamil-nadu,,,Query 4,,,,,1555507253.0
